state,lawsrank,grade,gundeathrank,year
California,1,A-,42,2015
Connecticut,2,A-,47,2015
New Jersey,3,A-,45,2015
Maryland,4,A-,36,2015
Massachusetts,5,A-,49,2015
New York,6,A-,48,2015
Hawaii,7,B+,50,2015
Illinois,8,B+,40,2015
Rhode Island,9,B+,46,2015
Delaware,10,B,32,2015
Washington,11,B-,39,2015
Minnesota,12,C,43,2015
Pennsylvania,13,C,27,2015
Oregon,14,C,28,2015
Michigan,15,C,22,2015
Colorado,16,C-,25,2015
Iowa,17,C-,41,2015
Wisconsin,18,D,35,2015
Ohio,19,D,29,2015
Virginia,20,D,33,2015
Nebraska,21,D,38,2015
New Hampshire,22,D,44,2015
Indiana,23,D-,18,2015
West Virginia,24,D-,13,2015
Oklahoma,25,F,8,2015
North Carolina,25,F,21,2015
Nevada,27,F,16,2015
South Carolina,28,F,11,2015
Georgia,28,F,20,2015
Florida,28,F,23,2015
North Dakota,28,F,24,2015
Tennessee,32,F,10,2015
New Mexico,33,F,9,2015
Texas,33,F,31,2015
Maine,35,F,30,2015
Alabama,36,F,4,2015
Montana,37,F,5,2015
Arkansas,37,F,6,2015
Utah,37,F,19,2015
South Dakota,40,F,34,2015
Missouri,41,F,12,2015
Vermont,41,F,37,2015
Kentucky,43,F,17,2015
Louisiana,44,F,2,2015
Idaho,44,F,14,2015
Alaska,46,F,1,2015
Arizona,47,F,15,2015
Wyoming,48,F,7,2015
Mississippi,49,F,3,2015
Kansas,50,F,26,2015